stamp_ns,module,duration_ms
1776241324899377927,scan2MapOptimization,29.279
1776241325105382645,scan2MapOptimization,29.823
1776241325305815074,scan2MapOptimization,32.974
1776241325499166272,scan2MapOptimization,24.440
1776241325699359061,scan2MapOptimization,28.040
1776241325898888689,scan2MapOptimization,30.137
1776241326092571045,scan2MapOptimization,22.283
1776241326295166361,scan2MapOptimization,26.381
1776241326497117469,scan2MapOptimization,25.273
1776241326699197893,scan2MapOptimization,29.908
1776241326911743415,scan2MapOptimization,32.817
1776241327108516521,scan2MapOptimization,35.942
1776241327301410055,scan2MapOptimization,30.455
1776241327494851720,scan2MapOptimization,23.408
1776241327698067205,scan2MapOptimization,26.046
1776241327905397233,scan2MapOptimization,29.009
1776241328107393332,scan2MapOptimization,33.309
1776241328303361019,scan2MapOptimization,32.405
1776241328499118699,scan2MapOptimization,27.824
1776241328710658869,scan2MapOptimization,32.734
1776241328901242332,scan2MapOptimization,27.930
1776241329105417872,scan2MapOptimization,34.075
1776241329308842468,scan2MapOptimization,32.109
1776241329505807672,scan2MapOptimization,33.547
1776241329700925470,scan2MapOptimization,27.108
1776241329896778908,scan2MapOptimization,25.030
1776241330108835256,scan2MapOptimization,30.344
1776241330307144091,scan2MapOptimization,28.739
1776241330503511723,scan2MapOptimization,32.214
1776241330704394195,scan2MapOptimization,27.261
1776241330893717254,scan2MapOptimization,23.928
1776241331096505779,scan2MapOptimization,24.245
1776241331309369426,scan2MapOptimization,31.773
1776241331497733540,scan2MapOptimization,24.645
1776241331705250411,scan2MapOptimization,28.996
1776241331912117030,scan2MapOptimization,37.084
1776241332108364273,scan2MapOptimization,34.931
1776241332306563748,scan2MapOptimization,33.410
1776241332503090084,scan2MapOptimization,29.953
1776241332707652239,scan2MapOptimization,29.376
1776241332907473830,scan2MapOptimization,29.961
1776241333115221490,scan2MapOptimization,34.594
1776241333301119450,scan2MapOptimization,27.474
1776241333504056603,scan2MapOptimization,31.745
1776241333697570521,scan2MapOptimization,24.791
1776241333910483890,scan2MapOptimization,29.557
1776241334111974848,scan2MapOptimization,32.241
1776241334303202121,scan2MapOptimization,29.299
1776241334510082965,scan2MapOptimization,30.046
1776241334702595418,scan2MapOptimization,30.862
1776241334902199506,scan2MapOptimization,30.443
1776241335101385799,scan2MapOptimization,24.227
1776241335304096641,scan2MapOptimization,24.515
1776241335504068548,scan2MapOptimization,27.794
1776241335704645678,scan2MapOptimization,27.697
1776241335897496117,scan2MapOptimization,25.173
1776241336109491672,scan2MapOptimization,33.161
1776241336303314734,scan2MapOptimization,28.710
1776241336506572376,scan2MapOptimization,32.128
1776241336698185729,scan2MapOptimization,24.494
1776241336905716821,scan2MapOptimization,30.017
1776241337103207774,scan2MapOptimization,22.771
1776241337306731884,scan2MapOptimization,26.779
1776241337498164055,scan2MapOptimization,23.338
1776241337700938130,scan2MapOptimization,23.278
1776241337899451722,scan2MapOptimization,23.106
1776241338106996213,scan2MapOptimization,27.735
1776241338302660608,scan2MapOptimization,25.111
1776241338499423968,scan2MapOptimization,23.944
1776241338705430025,scan2MapOptimization,29.091
1776241338902729812,scan2MapOptimization,29.008
1776241339096481602,scan2MapOptimization,23.001
1776241339302396450,scan2MapOptimization,30.298
1776241339497557625,scan2MapOptimization,24.665
1776241339699166731,scan2MapOptimization,21.567
1776241339901341945,scan2MapOptimization,29.589
1776241340100058063,scan2MapOptimization,26.205
1776241340303708381,scan2MapOptimization,28.152
1776241340503226161,scan2MapOptimization,29.345
1776241340710860662,scan2MapOptimization,27.422
1776241340910060372,scan2MapOptimization,27.788
1776241341105173074,scan2MapOptimization,30.331
1776241341300123483,scan2MapOptimization,26.785
1776241341500555941,scan2MapOptimization,26.685
1776241341708444177,scan2MapOptimization,30.878
1776241341904259797,scan2MapOptimization,29.204
1776241342105392828,scan2MapOptimization,28.588
1776241342301390591,scan2MapOptimization,25.514
1776241342499379913,scan2MapOptimization,21.110
1776241342710289453,scan2MapOptimization,32.558
1776241342904322953,scan2MapOptimization,27.515
1776241343112317885,scan2MapOptimization,29.979
1776241343301013134,scan2MapOptimization,24.699
1776241343499864532,scan2MapOptimization,23.594
1776241343703775608,scan2MapOptimization,31.982
1776241343906061842,scan2MapOptimization,30.037
1776241344102684389,scan2MapOptimization,27.550
1776241344299742621,scan2MapOptimization,25.799
1776241344508373105,scan2MapOptimization,29.171
1776241344703368510,scan2MapOptimization,29.299
1776241344908177184,scan2MapOptimization,32.518
1776241345112804418,scan2MapOptimization,36.291
1776241345295600766,scan2MapOptimization,23.253
1776241345508672869,scan2MapOptimization,31.817
1776241345702641621,scan2MapOptimization,29.941
1776241345897381865,scan2MapOptimization,22.067
1776241346104978679,scan2MapOptimization,30.063
1776241346300976938,scan2MapOptimization,26.226
1776241346508660482,scan2MapOptimization,31.896
1776241346700052282,scan2MapOptimization,30.324
1776241346904895513,scan2MapOptimization,29.838
1776241347102613511,scan2MapOptimization,32.523
1776241347305229887,scan2MapOptimization,32.040
1776241347498578646,scan2MapOptimization,29.729
1776241347710761748,scan2MapOptimization,38.055
1776241347904553234,scan2MapOptimization,30.080
1776241348098678027,scan2MapOptimization,21.866
1776241348304621107,scan2MapOptimization,31.102
1776241348500126141,scan2MapOptimization,29.169
1776241348709398618,scan2MapOptimization,33.723
1776241348900320836,scan2MapOptimization,28.893
1776241349108850094,scan2MapOptimization,32.258
1776241349309437185,scan2MapOptimization,33.378
1776241349499289391,scan2MapOptimization,28.713
1776241349703861114,scan2MapOptimization,26.542
1776241349902438678,scan2MapOptimization,23.130
1776241350101239074,scan2MapOptimization,29.696
1776241350299592883,scan2MapOptimization,28.114
1776241350499677299,scan2MapOptimization,24.892
1776241350697387769,scan2MapOptimization,23.921
1776241350912014973,scan2MapOptimization,32.384
1776241351104003887,scan2MapOptimization,28.792
1776241351303048990,scan2MapOptimization,28.757
1776241351503602749,scan2MapOptimization,28.034
1776241351698676209,scan2MapOptimization,25.574
1776241351903945849,scan2MapOptimization,25.572
1776241352108105292,scan2MapOptimization,32.698
1776241352299594377,scan2MapOptimization,27.805
1776241352505881690,scan2MapOptimization,26.525
1776241352700903264,scan2MapOptimization,26.174
1776241352906813114,scan2MapOptimization,29.681
1776241353103541128,scan2MapOptimization,30.790
1776241353301807019,scan2MapOptimization,26.262
1776241353502724670,scan2MapOptimization,26.719
